"Pclass","Sex","Fare","Embarked","Survived","Age"
"3","male",7.25,"S","died",22
"1","female",71.2833,"C","survived",38
"3","female",7.925,"S","survived",26
"1","female",53.1,"S","survived",35
"3","male",8.05,"S","died",35
"3","male",8.4583,"Q","died",26
"1","male",51.8625,"S","died",54
"3","male",21.075,"S","died",2
"3","female",11.1333,"S","survived",27
"2","female",30.0708,"C","survived",14
"3","female",16.7,"S","survived",4
"1","female",26.55,"S","survived",58
"3","male",8.05,"S","died",20
"3","male",31.275,"S","died",39
"3","female",7.8542,"S","died",14
"2","female",16,"S","survived",55
"3","male",29.125,"Q","died",2
"2","male",13,"S","survived",22
"3","female",18,"S","died",31
"3","female",7.225,"C","survived",4
"2","male",26,"S","died",35
"2","male",13,"S","survived",34
"3","female",8.0292,"Q","survived",15
"1","male",35.5,"S","survived",28
"3","female",21.075,"S","died",8
"3","female",31.3875,"S","survived",38
"3","male",7.225,"C","died",20.5
"1","male",263,"S","died",19
"3","female",7.8792,"Q","survived",45
"3","male",7.8958,"S","died",20
"1","male",27.7208,"C","died",40
"1","female",146.5208,"C","survived",54
"3","female",7.75,"Q","survived",29
"2","male",10.5,"S","died",66
"1","male",82.1708,"C","died",28
"1","male",52,"S","died",42
"3","male",7.2292,"C","survived",22
"3","male",8.05,"S","died",21
"3","female",18,"S","died",18
"3","female",11.2417,"C","survived",14
"3","female",9.475,"S","died",40
"2","female",21,"S","died",27
"3","male",7.8958,"C","died",35
"2","female",41.5792,"C","survived",3
"3","female",7.8792,"Q","survived",19
"3","male",8.05,"S","died",19
"3","male",15.5,"Q","died",25
"3","female",7.75,"Q","survived",16
"3","male",21.6792,"C","died",26
"3","female",17.8,"S","died",18
"3","male",39.6875,"S","died",7
"3","male",7.8,"S","died",21
"1","female",76.7292,"C","survived",49
"2","female",26,"S","survived",29
"1","male",61.9792,"C","died",65
"1","male",35.5,"S","survived",52
"2","female",10.5,"S","survived",21
"3","male",7.2292,"C","died",28.5
"2","female",27.75,"S","survived",5
"3","male",46.9,"S","died",11
"3","male",7.2292,"C","died",22
"1","female",80,"C","survived",38
"1","male",83.475,"S","died",45
"3","male",27.9,"S","died",4
"1","male",27.7208,"C","died",30
"3","male",15.2458,"C","survived",29
"2","female",10.5,"S","survived",29
"3","male",8.1583,"S","died",19
"3","female",7.925,"S","survived",17
"3","male",8.6625,"S","died",26
"2","male",10.5,"S","died",32
"3","female",46.9,"S","died",16
"2","male",73.5,"S","died",21
"3","male",14.4542,"C","died",26
"3","male",56.4958,"S","survived",32
"3","male",7.65,"S","died",25
"3","male",7.8958,"S","died",22
"3","male",8.05,"S","died",31
"2","male",29,"S","survived",0.83
"3","female",12.475,"S","survived",30
"3","male",9,"S","died",22
"3","male",9.5,"S","survived",29
"3","female",7.7875,"Q","survived",22
"1","male",47.1,"S","died",28
"2","female",10.5,"S","survived",17
"3","female",15.85,"S","survived",33
"3","male",34.375,"S","died",16
"3","male",8.05,"S","died",32
"1","female",263,"S","survived",23
"3","male",8.05,"S","died",24
"3","male",8.05,"S","died",29
"3","male",7.8542,"S","died",20
"1","male",61.175,"S","died",46
"3","male",20.575,"S","died",26
"3","male",7.25,"S","died",59
"3","male",8.05,"S","died",22
"1","male",34.6542,"C","died",71
"1","male",63.3583,"C","survived",23
"2","female",23,"S","survived",34
"2","male",26,"S","died",34
"3","female",7.8958,"S","died",28
"3","male",7.8958,"S","died",22
"1","male",77.2875,"S","died",21
"3","male",8.6542,"S","died",33
"3","male",7.925,"S","died",37
"3","male",7.8958,"S","died",28
"3","female",7.65,"S","survived",21
"3","male",7.775,"S","survived",24
"3","male",7.8958,"S","died",38
"3","female",24.15,"Q","survived",45
"1","male",52,"S","died",47
"3","female",14.4542,"C","died",14.5
"3","male",8.05,"S","died",22
"3","female",9.825,"S","died",20
"3","female",14.4583,"C","died",17
"3","male",7.925,"S","died",21
"3","male",7.75,"Q","died",70.5
"2","male",21,"S","died",29
"1","male",247.5208,"C","died",24
"3","female",31.275,"S","died",2
"2","male",73.5,"S","died",21
"3","male",8.05,"S","died",19
"2","male",30.0708,"C","died",32.5
"2","female",13,"S","survived",32.5
"1","male",77.2875,"S","died",54
"3","male",11.2417,"C","survived",12
"3","male",7.75,"Q","died",31
"3","male",7.1417,"S","survived",24
